State,Day,Early Morning Drink,Breakfast,Mid-Morning Snack,Lunch,Afternoon Snack,Afternoon Drink,Dinner
Andhra,1,Warm water with lemon (1 glass),Ragi Idli (2 pieces) with Coconut Chutney,"Fruit salad (1 cup, avoid high sugar fruits)",Brown Rice (1 cup) with Fish Pulusu (1 cup) and Palakura Pappu (1 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,2,Cinnamon water (1 glass),Pesara Dosa (2 pieces) with Tomato Chutney,Carrot and cucumber sticks (1 cup),Chappidi Pappu (1 cup) with brown rice (1 cup) and vegetable stir fry (1 cup),Handful of roasted peanuts,Green Tea (1 cup),Andhra Chicken Salad (1 serving)
Andhra,3,Bitter Gourd Juice (1 glass),Godhuma Upma (1 cup),Apple (1 small),Andhra Style Chicken Curry (1 cup) with 2 Wheat Rotis,"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Ven Pongal (1 cup)
Andhra,4,Amla Juice (1 glass),Kanchipuram Idli (2 pieces) with Sambhar,Boiled chickpeas salad (1 cup),Brown Rice (1 cup) with Mamidikaya Pappu (1 cup) and steamed vegetables (1 cup),Handful of roasted almonds,Green Tea (1 cup),Andhra style grilled fish (1 serving)
Andhra,5,Warm water with lemon (1 glass),Pesarattu (2 pieces) with Allam Pachadi,Handful of berries (1 cup),"Tomato Rice (made with brown rice, 1 cup) and Vendakai Pulusu (1 cup)","Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Andhra Chicken Soup (1 serving)
Andhra,6,Cinnamon water (1 glass),Vermicelli Upma (1 cup),Guava (1 medium),Chana Dal Fry (1 cup) with 2 Wheat Rotis and mixed vegetable curry (1 cup),Sprouted moong salad (1 cup),Green Tea (1 cup),Chepa Vepudu (1 serving)
Andhra,7,Bitter Gourd Juice (1 glass),Rava Idli (2 pieces) with Mint Chutney,Pineapple (1 cup),Brown Rice (1 cup) with Dal Palak (1 cup) and carrot stir fry (1 cup),Handful of roasted cashews,Buttermilk (1 glass),Prawns Stir Fry (1 serving) and half a cup of Cucumber Salad
Andhra,8,Amla Juice (1 glass),Rava Dosa (2 pieces) with Tomato Chutney,Boiled Chickpeas Salad (1 cup),Gongura Pappu (1 cup) with Brown Rice (1 cup),Handful of Roasted Peanuts,Green Tea (1 cup),Andhra Chicken Salad (1 serving)
Andhra,9,Warm water with lemon (1 glass),Pesara Dosa (2 pieces) with Sambhar,Handful of Berries (1 cup),Brown Rice (1 cup) with Palakura Pappu (1 cup),"Bowl of Mixed Fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,10,Cinnamon water (1 glass),Godhuma Upma (1 cup),Guava (1 medium),Chana Dal Fry (1 cup) with 2 Wheat Rotis and mixed vegetable curry (1 cup),Sprouted Moong Salad (1 cup),Green Tea (1 cup),Andhra style grilled fish (1 serving)
Andhra,11,Bitter Gourd Juice (1 glass),Pesarattu (2 pieces) with Allam Pachadi,Pineapple (1 cup),"Tomato Rice (made with brown rice, 1 cup) and Vendakai Pulusu (1 cup)",Handful of Roasted Almonds,Buttermilk (1 glass),Ven Pongal (1 cup)
Andhra,12,Amla Juice (1 glass),Ragi Idli (2 pieces) with Coconut Chutney,"Fruit salad (1 cup, avoid high sugar fruits)",Brown Rice (1 cup) with Fish Pulusu (1 cup) and Palakura Pappu (1 cup),Sprouted Moong Salad (1 cup),Green Tea (1 cup),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,13,Warm water with lemon (1 glass),Vermicelli Upma (1 cup),Carrot and cucumber sticks (1 cup),Chappidi Pappu (1 cup) with brown rice (1 cup) and vegetable stir fry (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Andhra Chicken Soup (1 serving)
Andhra,14,Cinnamon water (1 glass),Kanchipuram Idli (2 pieces) with Sambhar,Apple (1 small),Andhra Style Chicken Curry (1 cup) with 2 Wheat Rotis,Handful of roasted peanuts,Green Tea (1 cup),Chepa Vepudu (1 serving)
Andhra,15,Bitter Gourd Juice (1 glass),Pesarattu (2 pieces) with Allam Pachadi,Boiled chickpeas salad (1 cup),Brown Rice (1 cup) with Mamidikaya Pappu (1 cup) and steamed vegetables (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Andhra style grilled fish (1 serving)
Andhra,16,Amla Juice (1 glass),Rava Idli (2 pieces) with Mint Chutney,Handful of berries (1 cup),"Tomato Rice (made with brown rice, 1 cup) and Vendakai Pulusu (1 cup)",Sprouted Moong Salad (1 cup),Green Tea (1 cup),Prawns Stir Fry (1 serving) and half a cup of Cucumber Salad
Andhra,17,Warm water with lemon (1 glass),Pesara Dosa (2 pieces) with Tomato Chutney,Guava (1 medium),Chana Dal Fry (1 cup) with 2 Wheat Rotis and mixed vegetable curry (1 cup),Handful of roasted almonds,Buttermilk (1 glass),Andhra Chicken Salad (1 serving)
Andhra,18,Cinnamon water (1 glass),Godhuma Upma (1 cup),Pineapple (1 cup),Brown Rice (1 cup) with Dal Palak (1 cup) and carrot stir fry (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Green Tea (1 cup),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,19,Bitter Gourd Juice (1 glass),Ragi Idli (2 pieces) with Coconut Chutney,Boiled Chickpeas Salad (1 cup),Gongura Pappu (1 cup) with Brown Rice (1 cup),Handful of Roasted Peanuts,Buttermilk (1 glass),Ven Pongal (1 cup)
Andhra,20,Amla Juice (1 glass),Kanchipuram Idli (2 pieces) with Sambhar,Handful of Berries (1 cup),Brown Rice (1 cup) with Palakura Pappu (1 cup),Sprouted Moong Salad (1 cup),Green Tea (1 cup),Andhra style grilled fish (1 serving)
Andhra,21,Warm water with lemon (1 glass),Rava Dosa (2 pieces) with Tomato Chutney,Carrot and cucumber sticks (1 cup),Chappidi Pappu (1 cup) with brown rice (1 cup) and vegetable stir fry (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Chepa Vepudu (1 serving)
Andhra,22,Cinnamon water (1 glass),Pesarattu (2 pieces) with Allam Pachadi,Apple (1 small),Andhra Style Chicken Curry (1 cup) with 2 Wheat Rotis,Handful of roasted almonds,Green Tea (1 cup),Andhra Chicken Soup (1 serving)
Andhra,23,Bitter Gourd Juice (1 glass),Vermicelli Upma (1 cup),Guava (1 medium),Brown Rice (1 cup) with Mamidikaya Pappu (1 cup) and steamed vegetables (1 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,24,Amla Juice (1 glass),Godhuma Upma (1 cup),Pineapple (1 cup),"Tomato Rice (made with brown rice, 1 cup) and Vendakai Pulusu (1 cup)",Handful of Roasted Peanuts,Green Tea (1 cup),Prawns Stir Fry (1 serving) and half a cup of Cucumber Salad
Andhra,25,Warm water with lemon (1 glass),Kanchipuram Idli (2 pieces) with Sambhar,Boiled Chickpeas Salad (1 cup),Chana Dal Fry (1 cup) with 2 Wheat Rotis and mixed vegetable curry (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Buttermilk (1 glass),Andhra Chicken Salad (1 serving)
Andhra,26,Cinnamon water (1 glass),Pesara Dosa (2 pieces) with Sambhar,Guava (1 medium),Brown Rice (1 cup) with Dal Palak (1 cup) and carrot stir fry (1 cup),Sprouted Moong Salad (1 cup),Green Tea (1 cup),Ven Pongal (1 cup)
Andhra,27,Bitter Gourd Juice (1 glass),Rava Dosa (2 pieces) with Tomato Chutney,Handful of Berries (1 cup),Gongura Pappu (1 cup) with Brown Rice (1 cup),Handful of Roasted Almonds,Buttermilk (1 glass),Andhra style grilled fish (1 serving)
Andhra,28,Amla Juice (1 glass),Vermicelli Upma (1 cup),Apple (1 small),Brown Rice (1 cup) with Palakura Pappu (1 cup),"Bowl of mixed fruits (1 cup, avoid high sugar fruits)",Green Tea (1 cup),Tomato Pappu (1 cup) with 2 Wheat Rotis
Andhra,29,Warm water with lemon (1 glass),Ragi Idli (2 pieces) with Coconut Chutney,Carrot and cucumber sticks (1 cup),Chappidi Pappu (1 cup) with brown rice (1 cup) and vegetable stir fry (1 cup),Handful of roasted peanuts,Buttermilk (1 glass),Chepa Vepudu (1 serving)
Andhra,30,Cinnamon water (1 glass),Kanchipuram Idli (2 pieces) with Sambhar,Pineapple (1 cup),Andhra Style Chicken Curry (1 cup) with 2 Wheat Rotis,Sprouted Moong Salad (1 cup),Green Tea (1 cup),Andhra Chicken Soup (1 serving)
Arunachali,1,Warm Lemon Water (1 glass),Thukpa (1 small bowl),Fresh Apple (1 small),"Pehak (1 cup, made with bitter gourd)",Handful of Almonds,Green Tea (1 cup),"Dung Po Oma (1 small serving, use brown rice)"
Arunachali,2,Apple Cider Vinegar (1 tbsp in a glass of warm water),Bamboo Shoot Stir Fry (1 small serving),Carrot Sticks (1 cup),"Dal with Lai Patta (1 small bowl, use masoor dal)",Cucumber Slices (1 cup),"Black Coffee (1 cup, without sugar)","Boiled Chicken Salad (1 small bowl, with lettuce and tomatoes)"
Arunachali,3,"Fenugreek Soaked Water (1 glass, soaked overnight)","Buckwheat Pancakes (2 small, with a drizzle of honey)",Sliced Cucumber (1 cup),"Pika Pila (1 small bowl, use less oil)",Boiled Egg (1),"Buttermilk (1 cup, without sugar)","Steamed Vegetables (1 bowl, use less oil)"
Arunachali,4,Bitter Gourd Juice (1 glass),"Millet Porridge (1 bowl, sweetened with stevia)",Handful of Walnuts,"Lukter (1 small serving, use less oil)",Fresh Papaya (1 cup),"Herbal Tea (1 cup, without sugar)",Grilled Fish (1 small serving)
Arunachali,5,"Cinnamon Water (1 glass, with 1 tsp cinnamon)","Apong (1 small glass, made with millet)",Cherry Tomatoes (1 cup),"Ngatok (1 small serving, use lean fish)",Guava (1 small),"Lemon Iced Tea (1 glass, without sugar)",Stir Fried Tofu (1 small serving)
Arunachali,6,"Ginger Tea (1 cup, without sugar)","Brown Rice Poha (1 small bowl, with lots of veggies)",Sliced Peaches (1 cup),Tomato and Bamboo Shoot Soup (1 bowl),Boiled Chickpeas (1 small bowl),"Vegetable Juice (1 glass, like carrot or beetroot)",Smoked Chicken Salad (1 small serving)
Arunachali,7,Amla Juice (1 glass),"Whole Grain Roti (2, with mixed veggie curry)",Mixed Berries (1 cup),"Khura (1 small serving, use whole wheat flour)",Raw Bell Pepper Slices (1 cup),Aloe Vera Juice (1 glass),Chura Sabzi (1 small serving)
Arunachali,8,"Black Tea (1 cup, without sugar)",Thukpa (1 small bowl),Orange Slices (1 small),Bamboo Shoot Soup (1 bowl),Handful of Pistachios,"Herbal Tea (1 cup, without sugar)","Steamed Vegetables (1 small serving, with less oil)"
Arunachali,9,Cucumber Water (1 glass),"Khura (1 small serving, use whole wheat flour)",Fresh Apple (1 small),"Lukter (1 small serving, use less oil)",Carrot Sticks (1 cup),"Buttermilk (1 cup, without sugar)",Grilled Fish (1 small serving)
Arunachali,10,Coconut Water (1 glass),"Millet Porridge (1 bowl, sweetened with stevia)",Sliced Peaches (1 cup),"Pika Pila (1 small bowl, use less oil)",Fresh Papaya (1 cup),Green Tea (1 cup),"Dung Po Oma (1 small serving, use brown rice)"
Arunachali,11,"Hibiscus Tea (1 cup, without sugar)","Whole Grain Roti (2, with mixed veggie curry)",Handful of Walnuts,"Pehak (1 cup, made with bitter gourd)",Boiled Egg (1),Apple Cider Vinegar (1 tbsp in a glass of warm water),Smoked Chicken Salad (1 small serving)
Arunachali,12,"Turmeric Water (1 glass, with 1 tsp turmeric)","Buckwheat Pancakes (2 small, with a drizzle of honey)",Cherry Tomatoes (1 cup),"Dal with Lai Patta (1 small bowl, use masoor dal)",Guava (1 small),"Lemon Iced Tea (1 glass, without sugar)",Stir Fried Tofu (1 small serving)
Arunachali,13,Wheatgrass Juice (1 glass),"Brown Rice Poha (1 small bowl, with lots of veggies)",Sliced Cucumber (1 cup),Tomato and Bamboo Shoot Soup (1 bowl),Raw Bell Pepper Slices (1 cup),Aloe Vera Juice (1 glass),"Boiled Chicken Salad (1 small bowl, with lettuce and tomatoes)"
Arunachali,14,Aloe Vera Juice (1 glass),"Apong (1 small glass, made with millet)",Mixed Berries (1 cup),"Ngatok (1 small serving, use lean fish)",Boiled Chickpeas (1 small bowl),"Black Coffee (1 cup, without sugar)",Chura Sabzi (1 small serving)
Arunachali,15,"Moringa Tea (1 cup, without sugar)",Thukpa (1 small bowl),Orange Slices (1 small),"Lukter (1 small serving, use less oil)",Handful of Almonds,"Herbal Tea (1 cup, without sugar)",Grilled Fish (1 small serving)
Arunachali,16,Warm Lemon Water (1 glass),"Millet Porridge (1 bowl, sweetened with stevia)",Sliced Peaches (1 cup),"Pika Pila (1 small bowl, use less oil)",Fresh Papaya (1 cup),"Vegetable Juice (1 glass, like carrot or beetroot)","Dung Po Oma (1 small serving, use brown rice)"
Arunachali,17,"Fenugreek Soaked Water (1 glass, soaked overnight)","Whole Grain Roti (2, with mixed veggie curry)",Fresh Apple (1 small),Bamboo Shoot Soup (1 bowl),Boiled Egg (1),"Ginger Tea (1 cup, without sugar)",Smoked Chicken Salad (1 small serving)
Arunachali,18,"Cinnamon Water (1 glass, with 1 tsp cinnamon)","Buckwheat Pancakes (2 small, with a drizzle of honey)",Cherry Tomatoes (1 cup),"Pehak (1 cup, made with bitter gourd)",Guava (1 small),Green Tea (1 cup),"Steamed Vegetables (1 small serving, with less oil)"
Arunachali,19,Apple Cider Vinegar (1 tbsp in a glass of warm water),"Khura (1 small serving, use whole wheat flour)",Handful of Walnuts,"Dal with Lai Patta (1 small bowl, use masoor dal)",Carrot Sticks (1 cup),"Buttermilk (1 cup, without sugar)",Stir Fried Tofu (1 small serving)
Arunachali,20,"Black Tea (1 cup, without sugar)",Thukpa (1 small bowl),Orange Slices (1 small),Bamboo Shoot Soup (1 bowl),Handful of Pistachios,"Herbal Tea (1 cup, without sugar)","Steamed Vegetables (1 small serving, with less oil)"
Arunachali,21,Cucumber Water (1 glass),"Khura (1 small serving, use whole wheat flour)",Fresh Apple (1 small),"Lukter (1 small serving, use less oil)",Carrot Sticks (1 cup),"Buttermilk (1 cup, without sugar)",Grilled Fish (1 small serving)
Arunachali,22,Coconut Water (1 glass),"Millet Porridge (1 bowl, sweetened with stevia)",Sliced Peaches (1 cup),"Pika Pila (1 small bowl, use less oil)",Fresh Papaya (1 cup),Green Tea (1 cup),"Dung Po Oma (1 small serving, use brown rice)"
Arunachali,23,"Hibiscus Tea (1 cup, without sugar)","Whole Grain Roti (2, with mixed veggie curry)",Handful of Walnuts,"Pehak (1 cup, made with bitter gourd)",Boiled Egg (1),Apple Cider Vinegar (1 tbsp in warm water),Smoked Chicken Salad (1 small serving)
Arunachali,24,"Turmeric Water (1 glass, with 1 tsp turmeric)","Buckwheat Pancakes (2 small, with a drizzle of honey)",Cherry Tomatoes (1 cup),"Dal with Lai Patta (1 small bowl, use masoor dal)",Guava (1 small),"Lemon Iced Tea (1 glass, without sugar)",Stir Fried Tofu (1 small serving)
Arunachali,25,Wheatgrass Juice (1 glass),"Brown Rice Poha (1 small bowl, with lots of veggies)",Sliced Cucumber (1 cup),Tomato and Bamboo Shoot Soup (1 bowl),Raw Bell Pepper Slices (1 cup),Aloe Vera Juice (1 glass),"Boiled Chicken Salad (1 small bowl, with lettuce and tomatoes)"
Arunachali,26,Aloe Vera Juice (1 glass),"Apong (1 small glass, made with millet)",Mixed Berries (1 cup),"Ngatok (1 small serving, use lean fish)",Boiled Chickpeas (1 small bowl),"Black Coffee (1 cup, without sugar)",Chura Sabzi (1 small serving)
Arunachali,27,"Moringa Tea (1 cup, without sugar)",Thukpa (1 small bowl),Orange Slices (1 small),"Lukter (1 small serving, use less oil)",Handful of Almonds,"Herbal Tea (1 cup, without sugar)",Grilled Fish (1 small serving)
Arunachali,28,Warm Lemon Water (1 glass),"Millet Porridge (1 bowl, sweetened with stevia)",Sliced Peaches (1 cup),"Pika Pila (1 small bowl, use less oil)",Fresh Papaya (1 cup),"Vegetable Juice (1 glass, like carrot or beetroot)","Dung Po Oma (1 small serving, use brown rice)"
Arunachali,29,"Fenugreek Soaked Water (1 glass, soaked overnight)","Whole Grain Roti (2, with mixed veggie curry)",Fresh Apple (1 small),Bamboo Shoot Soup (1 bowl),Boiled Egg (1),"Ginger Tea (1 cup, without sugar)",Smoked Chicken Salad (1 small serving)
Arunachali,30,"Cinnamon Water (1 glass, with 1 tsp cinnamon)","Buckwheat Pancakes (2 small, with a drizzle of honey)",Cherry Tomatoes (1 cup),"Pehak (1 cup, made with bitter gourd)",Guava (1 small),Green Tea (1 cup),"Steamed Vegetables (1 small serving, with less oil)"
Assamese,1,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,2,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assames,3,Fennel Seeds in Water (1 glass),Whole Wheat Roti (2 pieces) with Mixed Vegetable Sabzi,Fresh Papaya (1 cup),Vegetable Khichdi (1 cup),Roasted Peanuts (1/4 cup),Lemonade with Stevia (1 glass),Palak (Spinach) and Moong Daal (1 cup) with Brown Rice (1/2 cup)
Assamese,4,Ginger Turmeric Tea (1 cup),Oats Idli (2 pieces) with Mint Chutney,Fresh Apple (1 medium sized),Daal (1 cup) with Quinoa (1/2 cup),Handful of Pumpkin Seeds (1/4 cup),Coconut Water (1 glass),Mixed Vegetable Sabzi with Whole Wheat Roti (2 pieces)
Assamese,5,Green Tea with Cinnamon (1 cup),Moong Dal Chila (2 pieces) with Green Chutney,Fresh Guava (1 medium sized),Brown Rice Biryani with Soya Chunks (1 cup),Handful of Sunflower Seeds (1/4 cup),Amla Juice (1 glass),Palak Paneer (1 cup) with Brown Rice (1/2 cup)
Assamese,6,Carom Seeds Water (1 glass),Paneer Bhurji (1/2 cup) with Whole Wheat Roti (2 pieces),Fresh Orange (1 medium sized),Vegetable Khichdi (1 cup),Roasted Makhana (Fox Nuts) (1/2 cup),Buttermilk (1 glass),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,7,Cucumber and Mint Infused Water (1 glass),Poha with Sprouts (1 cup),Fresh Pineapple Slices (1 cup),Palak (Spinach) and Moong Daal (1 cup) with Roasted Chana (1/2 cup),Handful of Almonds,Green Tea (1 cup),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,8,Fresh Tomato Juice (1 glass),Veg Paratha (2 pieces) with Dahi,Fresh Apple (1 medium sized),Daal (1 cup) with Brown Rice (1/2 cup),Sprouted Moong Salad (1 cup),Buttermilk (1 glass),Mixed Vegetable Sabzi with Quinoa (1 cup)
Assamese,9,Fenugreek Water (1 glass),Quinoa Upma (1 cup),Fresh Kiwi (1 medium sized),Brown Rice Pulao with Tofu (1 cup),Walnuts (15 pieces),Herbal Tea (1 cup),Daal (1 cup) with Whole Wheat Roti (2 pieces)
Assamese,10,Fennel Seeds in Water (1 glass),Whole Wheat Roti (2 pieces) with Mixed Vegetable Sabzi,Fresh Papaya (1 cup),Vegetable Khichdi (1 cup),Roasted Peanuts (1/4 cup),Lemonade with Stevia (1 glass),Palak (Spinach) and Moong Daal (1 cup) with Brown Rice (1/2 cup)
Assamese,11,Ginger Turmeric Tea (1 cup),Oats Idli (2 pieces) with Mint Chutney,Fresh Apple (1 medium sized),Daal (1 cup) with Quinoa (1/2 cup),Handful of Pumpkin Seeds (1/4 cup),Coconut Water (1 glass),Mixed Vegetable Sabzi with Whole Wheat Roti (2 pieces)
Assamese,12,Green Tea with Cinnamon (1 cup),Moong Dal Chila (2 pieces) with Green Chutney,Fresh Guava (1 medium sized),Brown Rice Biryani with Soya Chunks (1 cup),Handful of Sunflower Seeds (1/4 cup),Amla Juice (1 glass),Palak Paneer (1 cup) with Brown Rice (1/2 cup)
Assamese,13,Carom Seeds Water (1 glass),Paneer Bhurji (1/2 cup) with Whole Wheat Roti (2 pieces),Fresh Orange (1 medium sized),Vegetable Khichdi (1 cup),Roasted Makhana (Fox Nuts) (1/2 cup),Buttermilk (1 glass),Daal (1 cup) with Whole Wheat Roti (2 pieces)
